shapeGroup,shapeID,shapeISO,shapeName,shapeType,prob0,prob1,prob2,prob3,prob4
NOR,NOR-ADM0-3_0_0-B1,NOR,Norway,ADM0,85.27555154914016,71.33541175418944,91.66675560214834,,
NPL,NPL-ADM0-3_0_0-B1,NPL,Federal Democratic Republic of Nepal,ADM0,98.37615276953522,73.2857318519513,38.30582483371241,49.771753602848186,
NRU,NRU-ADM0-3_0_0-B1,NRU,Nauru,ADM0,69.07809473768435,50.80530602994892,,,
NZL,NZL-ADM0-3_0_0-B1,NZL,New Zealand,ADM0,97.50485348925392,95.97835596970368,98.89742937443845,,
OMN,OMN-ADM0-3_0_0-B1,OMN,Oman,ADM0,99.03956719341829,83.28930398321046,68.29753100966617,,
PAK,PAK-ADM0-3_0_0-B1,PAK,Pakistan,ADM0,95.07939108067814,90.90310575958753,49.27575235918693,48.654073539709685,
PAN,PAN-ADM0-3_0_0-B1,PAN,Panama,ADM0,96.99350803259418,91.91593781228457,85.86520853367085,85.89321644127335,
PER,PER-ADM0-3_0_0-B1,PER,Peru,ADM0,99.28526292999443,97.87069989749057,95.66673845606239,92.09432115767494,
PHL,PHL-ADM0-3_0_0-B1,PHL,Philippines,ADM0,97.1166935960362,59.43286611282726,55.413297933656665,44.633907266552804,
PLW,PLW-ADM0-3_0_0-B1,PLW,Palau,ADM0,48.883128296491364,40.13794774998765,,,
PNG,PNG-ADM0-3_0_0-B1,PNG,Papua New Guinea,ADM0,98.05130989141026,72.7579039288887,73.13214541213755,99.85053674090472,
POL,POL-ADM0-3_0_0-B1,POL,Poland,ADM0,99.25476378066665,97.24921062090972,99.53430050182732,99.63258333048725,
PRK,PRK-ADM0-3_0_0-B1,PRK,Korea (Democratic People's Re*,ADM0,98.33944382138957,94.39052783502936,88.2307784835276,,
PRT,PRT-ADM0-3_0_0-B1,PRT,Portugal,ADM0,98.29003463919479,95.96786634479089,99.0278508667185,86.57533666864073,
PRY,PRY-ADM0-3_0_0-B1,PRY,Paraguay,ADM0,99.3955207551655,69.4290362371795,56.7309950082181,,
QAT,QAT-ADM0-3_0_0-B1,QAT,Qatar,ADM0,96.18041945715255,79.27023722391827,,,
ROU,ROU-ADM0-3_0_0-B1,ROU,Romania,ADM0,98.91563418857223,97.16828539911066,89.96269273292432,,
RUS,RUS-ADM0-3_0_0-B1,RUS,Russian Federation,ADM0,96.09938068121014,69.48137898561272,39.14776909896114,86.75853310642819,
RWA,RWA-ADM0-3_0_0-B1,RWA,Rwanda,ADM0,96.51992643901976,96.10696922429209,96.82787319572981,94.10272923206935,49.81332185901184
SAU,SAU-ADM0-3_0_0-B1,SAU,Saudi Arabia,ADM0,99.39541050786622,93.4993058095562,98.55601360131463,,
SDN,SDN-ADM0-3_0_0-B1,SDN,Sudan,ADM0,98.91557162907068,93.11259501310425,73.80868687228404,,
SEN,SEN-ADM0-3_0_0-B1,SEN,Senegal,ADM0,98.94752052968617,96.16531200683666,97.73403786613763,93.29319868944158,
SGP,SGP-ADM0-3_0_0-B1,SGP,Singapore,ADM0,77.74547190581114,55.88257433533695,,,
SLB,SLB-ADM0-3_0_0-B1,SLB,Solomon Islands,ADM0,87.98502681129378,87.94207060218184,43.692630200610196,,
SLE,SLE-ADM0-3_0_0-B1,SLE,Sierra Leone,ADM0,98.32028225789915,90.25960741640078,93.55299737958987,87.38368949151811,97.35874095261883
SLV,SLV-ADM0-3_0_0-B1,SLV,El Salvador,ADM0,90.65601363676531,94.3774698087896,80.81782083894772,,
SMR,SMR-ADM0-3_0_0-B1,SMR,San Marino,ADM0,76.87432554339146,51.22528876102556,,,
SOM,SOM-ADM0-3_0_0-B1,SOM,Somalia,ADM0,88.88424469994582,86.90404557844161,98.00971524740713,,
SRB,SRB-ADM0-3_0_0-B1,SRB,Serbia,ADM0,97.69249961646624,53.27497681396471,47.62206374649057,,
SSD,SSD-ADM0-3_0_0-B1,SSD,South Sudan,ADM0,97.16662233679041,93.96195165768148,74.16506016996944,,
STP,STP-ADM0-3_0_0-B1,STP,Sao Tome and Principe,ADM0,94.44220138594571,94.24179691527175,94.55478656106615,,
SUR,SUR-ADM0-3_0_0-B1,SUR,Suriname,ADM0,99.06793219252795,98.02356695092627,94.82388806333206,,
SVK,SVK-ADM0-3_0_0-B1,SVK,Slovakia,ADM0,98.35445908785331,73.05871145583433,44.75419336111522,11.810918315489893,86.71466579419598
SVN,SVN-ADM0-3_0_0-B1,SVN,Slovenia,ADM0,96.29125919670052,41.24605699214126,83.48010035895484,,
SWE,SWE-ADM0-3_0_0-B1,SWE,Sweden,ADM0,98.27204058992638,97.25099344022317,96.93943217998701,,
SWZ,SWZ-ADM0-3_0_0-B1,SWZ,Swaziland,ADM0,98.2763974954778,96.46134223884467,83.00956682026471,,
SYC,SYC-ADM0-3_0_0-B1,SYC,Seychelles,ADM0,59.85790458269961,38.23669308700511,92.35247384474408,89.9588379565026,
SYR,SYR-ADM0-3_0_0-B1,SYR,Syrian Arab Republic,ADM0,98.77219245801231,92.35389087570135,87.2260422071694,92.3713618634099,
TCD,TCD-ADM0-3_0_0-B1,TCD,Chad,ADM0,99.4343366724996,90.05875146913561,82.82209898527988,0.5474094408291537,
TGO,TGO-ADM0-3_0_0-B1,TGO,Togo,ADM0,97.92049835898501,96.77873290186,90.68875242150803,99.72262119012609,
THA,THA-ADM0-3_0_0-B1,THA,Thailand,ADM0,98.91115115516216,96.27897368436145,95.64365131752147,71.61374244713917,
TJK,TJK-ADM0-3_0_0-B1,TJK,Tajikistan,ADM0,97.1998347680357,95.90105798488099,91.95368271468426,,
TKM,TKM-ADM0-3_0_0-B1,TKM,Turkmenistan,ADM0,96.24454014966314,94.05366193516724,80.04237447283569,,
TLS,TLS-ADM0-3_0_0-B1,TLS,Timor-Leste,ADM0,97.2733131680019,92.35346423332223,97.1364514073269,92.41615078602516,
TON,TON-ADM0-3_0_0-B1,TON,Tonga,ADM0,68.70365769568545,66.12996074270256,45.436634122566275,,
TTO,TTO-ADM0-3_0_0-B1,TTO,Trinidad and Tobago,ADM0,96.86551099551687,93.09607813516918,,,
TUN,TUN-ADM0-3_0_0-B1,TUN,Tunisia,ADM0,98.55058698861573,95.83137721603215,89.82550500688407,98.83242896317218,
TUR,TUR-ADM0-3_0_0-B1,TUR,Turkey,ADM0,99.4964851604471,55.94364735879448,38.079257168000176,,
TUV,TUV-ADM0-3_0_0-B1,TUV,Tuvalu,ADM0,28.673946630162295,23.41684426215236,,,
TWN,TWN-ADM0-3_0_0-B1,TWN,"Taiwan, Province of China",ADM0,97.63069858299899,57.81482918625047,20.96343919816424,,
TZA,TZA-ADM0-3_0_0-B1,TZA,"Tanzania, United Republic of",ADM0,97.05647323787284,68.94834948556931,66.10110510482882,55.82977850667753,
UGA,UGA-ADM0-3_0_0-B1,UGA,Uganda,ADM0,93.86533532864243,41.11060303930043,84.0098093987651,34.30169426207826,36.96041874004168
UKR,UKR-ADM0-3_0_0-B1,UKR,Ukraine,ADM0,93.85307124301299,91.60112084241493,51.91186015204016,,
URY,URY-ADM0-3_0_0-B1,URY,Uruguay,ADM0,99.08459062131602,94.19920221149832,30.604366204426785,,
USA,USA-ADM0-3_0_0-B1,USA,United States,ADM0,98.47557493405954,98.37428303989752,95.08533903141816,,
UZB,UZB-ADM0-3_0_0-B1,UZB,Uzbekistan,ADM0,97.64196627590306,95.54093980118095,88.7286071547564,,
VCT,VCT-ADM0-3_0_0-B1,VCT,Saint Vincent and Grenadines,ADM0,85.72192026242277,81.5477298471532,,,
VEN,VEN-ADM0-3_0_0-B1,VEN,Venezuela (Bolivarian Republi*,ADM0,99.06219166099477,97.10569011364005,84.34739387296541,89.71299909459788,
VNM,VNM-ADM0-3_0_0-B1,VNM,Viet Nam,ADM0,97.24047553266409,91.62971238318075,96.51362985220356,,
VUT,VUT-ADM0-3_0_0-B1,VUT,Vanuatu,ADM0,90.23922603717061,90.12854387898835,95.36114163554338,,
WSM,WSM-ADM0-3_0_0-B1,WSM,Samoa,ADM0,94.40324666400633,76.35633589316119,92.82389293669772,,
XKX,XKX-ADM0-3_0_0-B1,XKX,Kosovo,ADM0,,,,,
YEM,YEM-ADM0-3_0_0-B1,YEM,Yemen,ADM0,99.3349609455275,96.59364986575292,94.49600534502638,,
ZAF,ZAF-ADM0-3_0_0-B1,ZAF,South Africa,ADM0,99.66196666598248,99.45832409874845,99.49582951688771,94.02434262416756,88.56517540530118
ZMB,ZMB-ADM0-3_0_0-B1,ZMB,Zambia,ADM0,99.31323567769834,96.58813551173266,83.07458440991384,,
ZWE,ZWE-ADM0-3_0_0-B1,ZWE,Zimbabwe,ADM0,99.5014454244902,98.54164011248747,94.84620774722255,100.0,
